时间,在位皇帝,事件概括,描述,事件类型,对国家政治影响因子
1206,成吉思汗铁木真,,铁木真即位号成吉思汗，蒙古汗国建立,改革变法,4
1209,成吉思汗铁木真,,成吉思汗进攻西夏，维吾尔降附蒙古,战争交锋,5
1211,成吉思汗铁木真,,成吉思汗大举进攻金朝,战争交锋,5
1219,成吉思汗铁木真,,成吉思汗西征花剌子模,战争交锋,5
1223,成吉思汗铁木真,,成吉思汗西征结束,稳妥整顿,1
1227,拖雷,,成吉思汗病逝，幼子拖累监国。蒙古灭西夏,战争交锋,5
1229,窝阔台汗,,窝阔台即位,稳妥整顿,1
1234,窝阔台汗,,蒙古灭金,战争交锋,5
1235,窝阔台汗,,拔都西征俄罗斯，钦察，阔端，阔出征南宋，建立哈喇和林为首都,战争交锋,5
1240,窝阔台汗,,拔都西征军政府俄罗斯诸国,战争交锋,5
1241,窝阔台汗,,窝阔台卒，皇后乃马真氏，拔都兵分两路攻入马扎尔，渤烈儿，欧洲大震,战争交锋,5
1246,贵由汗,,由贵即位，乌斯藏归附蒙古,稳妥整顿,1
1248,贵由汗,,由贵卒，皇后称制,政治博弈,2
1251,蒙哥汗,,蒙哥即位大汗，弟弟忽必烈总领漠南汉地为军事长官，旭烈兀西征,战争交锋,5
1253,蒙哥汗,,忽必烈远征大理，平定其他,战争交锋,5
1256,蒙哥汗,,旭烈兀灭剌夷国,战争交锋,5
1257,蒙哥汗,元越战争开始,,战争交锋,5
1258,蒙哥汗,,旭烈兀灭阿巴斯哈里发王朝，蒙哥亲征南宋,战争交锋,5
1258,蒙哥汗,元越战争结束,,稳妥整顿,1
1259,蒙哥汗,,蒙哥死于四川,稳妥整顿,1
1260,元世祖忽必烈,,忽必烈即位，阿里不哥即位和林,政治博弈,2
1262,元世祖忽必烈,,益都军阀叛乱，败死,战争交锋,5
1263,元世祖忽必烈,,加号开平为上都,稳妥整顿,1
1264,元世祖忽必烈,,阿里不哥投降归附于忽必烈,战争交锋,5
1269,元世祖忽必烈,,蒙古创立新字颁行天下,改革变法,4
1269,元世祖忽必烈,,窝阔台后王海都，察合台后王八剌与忽必烈对抗,战争交锋,5
1271,元世祖忽必烈,,国号大元,改革变法,4
1272,元世祖忽必烈,,大都建立，上都为陪都,战争交锋,5
1273,元世祖忽必烈,,元军攻克樊城襄阳,战争交锋,5
1276,元世祖忽必烈,,元军攻入都城临安,战争交锋,5
1279,元世祖忽必烈,,元军大败大宋余部于崖山，南宋残余势力消灭,战争交锋,5
1281,元世祖忽必烈,,远征日本，遭遇台风，几乎全军覆没,战争交锋,5
1284,元世祖忽必烈,,镇南王脱欢攻安南，占城，次年败还,战争交锋,5
1284,元世祖忽必烈,元越战争开始,,战争交锋,5
1285,元世祖忽必烈,元越战争结束,,稳妥整顿,1
1287,元世祖忽必烈,,东北宗王造反，败死，欢脱复征安南，仍不利而还,战争交锋,5
1287,元世祖忽必烈,元越战争开始,,战争交锋,5
1288,元世祖忽必烈,元越战争结束,,稳妥整顿,1
1291,元世祖忽必烈,,颁行行政法规《至元新格》意大利旅行家马可波罗经海盗返回欧洲,改革变法,4
1292,元世祖忽必烈,,发兵远征爪哇，次年败坏,稳妥整顿,1
1292,元世祖忽必烈,海禁开始,“以征爪哇，暂禁两浙、广东、福建商贾航海者”,改革变法,4
1294,元成宗铁穆耳,,即位于上都大安阁,政治博弈,2
1294,元成宗铁穆耳,,忽必烈病逝，铁穆耳即位。罗马教廷派遣传教士孟特戈维诺抵达大都传教,稳妥整顿,1
1294,元成宗铁穆耳,,海禁结束，成宗诏有司勿拘海舶，听其自便,稳妥整顿,1
1294,元世祖忽必烈,海禁结束,,稳妥整顿,1
1303,元成宗铁穆耳,,鏖战正式宣告结束，结束了对海外的战争,稳妥整顿,1
1303,元成宗铁穆耳,,《大元大一统志》修成,稳妥整顿,1
1303,元成宗铁穆耳,海禁开始,第二次海禁，以“禁商下海”取消市舶机构开始，到武宗至大元年(1308年)，是由朱清、张瑄贿官事件引发的整顿吏治风潮导致的大德七年关闭市舶司暂行整顿。,改革变法,4
1307,元武宗海山,大都政变,宫廷流血政变，爱育黎拔力八达监国，海山为皇帝,战争交锋,5
1307,元武宗海山,,武宗海山即位,改革变法,4
1308,元成宗铁穆耳,海禁结束,,稳妥整顿,1
1309,元武宗海山,,七月，武宗力排众议，下诏重立尚书省，但是也没有做什么大的改革,稳妥整顿,1
1311,元仁宗爱育黎拔力八达,,仁宗继位，撤除尚书省，彻底清算旧势力,政治博弈,2
1313,元仁宗爱育黎拔力八达,,仁宗爱俞黎拔力八达即位,稳妥整顿,1
1313,元仁宗爱育黎拔力八达,,召开行科举,改革变法,4
1315,元仁宗爱育黎拔力八达,延祐复科,毅然恢复了久以停废的科举取士制度,改革变法,4
1315,元仁宗爱育黎拔力八达,,十一月，和世瓎行至延安，辅臣教化等欲重夺皇位，于是就和关中重臣阿思罕、塔察儿等相勾 结，调动关中大军，举兵叛乱，准备回攻大都，拥和世瓎登基。然而，当回至河中时，叛军内部发生内讧，叛军不战自溃。,战争交锋,5
1315,元仁宗爱育黎拔力八达,,江西蔡五九聚众起事，败死,战争交锋,5
1317,元仁宗爱育黎拔力八达,,铁木迭儿为害，太后答己出面，仁宗无法对铁木迭儿治罪，仅夺其印绶，罢其相位,政治博弈,2
1319,元仁宗爱育黎拔力八达,,铁木迭儿又改头换面，以太子太师的身份重新登台，因逞私蠹政再遭弹劾，结果仍然是由于太后的缘故而安然无恙， 仁宗的愈益软弱导致他的又一次失利。,政治博弈,2
1320,元英宗硕德八剌,,仁宗崩，铁木迭儿复相，开始对那些弹劾他罪状的大臣横加迫害,政治博弈,2
1320,元英宗硕德八剌,,岭北行省平章政事阿散、中书平章政事黑驴及御史大夫脱忒 哈、徽政使失烈门等与已故的要束谋的寡妻亦烈失八阴谋废黜英宗，英宗便立刻果断地将这些涉案者全部擒获并诛杀,战争交锋,5
1320,元英宗硕德八剌,,英宗硕德八剌即位,政治博弈,2
1320,元英宗硕德八剌,海禁开始,最后一次海禁，四月以英宗“罢市舶司，禁贾人下番”开始，英宗至治二年(1322年)三月，“复置市舶提举司于泉州、庆元、广东、三路。”,改革变法,4
1322,元英宗硕德八剌,,新政,改革变法,4
1322,元英宗硕德八剌,,铁木迭儿在 失意中死去，“铁木迭儿渐见疏外，以疾死于家。”次月，太皇太后答己亦死去，英宗得以掌控朝政,政治博弈,2
1322,元英宗硕德八剌,海禁结束,,稳妥整顿,1
1323,元英宗硕德八剌,,南坡之变（八月五日被杀害）,政治博弈,2
1323,元英宗硕德八剌,,至治二年(1322)十二月，铁失以御史大夫、忠翊侍卫亲军都指挥使、左右 卫阿速亲军都指挥使、太医院使，兼领广惠司事，职权范围进一步扩大，贪赃枉法。,政治博弈,2
1323,元泰定帝也孙铁木儿,,颁行《大元通制》英宗遇刺。泰定帝也孙铁木儿即位。,政治博弈,2
1325,元泰定帝也孙铁木儿,,河南息州赵丑厮，郭菩萨倡言“弥勒佛当有天下”被杀,政治博弈,2
1328,元文宗孛儿只斤·图帖睦尔,,文宗天历元年元泰定卒于上郡，大臣燕铁木儿在大都发动政变，拥立文宗即位。,战争交锋,5
1329,元文宗孛儿只斤·图帖睦尔,,明宗和世剌即位漠北，不久暴卒，文宗重新即位。,政治博弈,2
1331,元文宗孛儿只斤·图帖睦尔,,征书《经世大典》修成,稳妥整顿,1
1332,元宁宗孛儿只斤·懿璘质班,,元文宗病卒，宁宗即位,稳妥整顿,1
1333,元顺帝孛儿只斤·妥懽帖睦尔,,顺帝即位,稳妥整顿,1
1336,元顺帝孛儿只斤·妥懽帖睦尔,,遣使团出使罗马教廷,政治博弈,2
1342,元顺帝孛儿只斤·妥懽帖睦尔,,罗马教廷使节马丽诺丽一行抵达上都,政治博弈,2
1345,元顺帝孛儿只斤·妥懽帖睦尔,,辽金宋三世修成,稳妥整顿,1
1351,元顺帝孛儿只斤·妥懽帖睦尔,,发民工修黄河，白莲教徒刘福通起事，攻克颍州，徐寿辉起兵于锦水,战争交锋,5
1352,元顺帝孛儿只斤·妥懽帖睦尔,,郭子兴起兵于濠州,战争交锋,5
1353,元顺帝孛儿只斤·妥懽帖睦尔,,张士诚起兵于淮东,战争交锋,5
1355,元顺帝孛儿只斤·妥懽帖睦尔,,刘福通立韩林儿为帝国号宋，年号龙凤。郭子兴死，朱元璋继统其众,战争交锋,5
1356,元顺帝孛儿只斤·妥懽帖睦尔,,朱元璋攻占集庆为根据地。刘福通兵发三路北伐,战争交锋,5
1357,元顺帝孛儿只斤·妥懽帖睦尔,,鄱阳湖之战：涉及元末的军事冲突，展示了元朝末期的内部矛盾和外部挑战。,战争交锋,5
1358,元顺帝孛儿只斤·妥懽帖睦尔,,刘福通攻克梁成,战争交锋,5
1359,元顺帝孛儿只斤·妥懽帖睦尔,,元军夺回城市，韩林儿，刘福通退至安丰，后败,战争交锋,5
1360,元顺帝孛儿只斤·妥懽帖睦尔,,徐寿辉为部将陈友谅所杀,战争交锋,5
1363,元顺帝孛儿只斤·妥懽帖睦尔,,陈友谅与朱元璋大战于鄱阳湖，陈友谅败死。,战争交锋,5
1367,元顺帝孛儿只斤·妥懽帖睦尔,,朱元璋攻克徐州，俘虏张士诚，命令常遇春，徐达统军北伐,战争交锋,5
1368,元顺帝孛儿只斤·妥懽帖睦尔,,明太祖朱元璋称帝，国号大明为洪武元年，明军平定附件，两广。派遣军队北伐，攻占大都逃，顺帝弃城北逃，元朝灭亡,战争交锋,5
